index,Name,published,type,downloads,onlineTime,steamRate,steamComments,24h Peak,All-Time Peak,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,VPR
1,Counter-Strike: Global Offensive,2012/8/21,Action,127634000,13:52 (05:27),87%,"4,875,263","911,943","1,308,963",380102880,8288040,282670,3544,33363,87986,1918,45.86,208044,12191870,88.26118117
2,Dota 2,2013/7/9,Strategy,169786000,27:58 (14:16),84%,"1,384,575","585,832","1,295,114",294820200,3879960,196044,1509,8490,68245,898,75.99,45456,5128671,79.31016299
3,PLAYERUNKNOWN'S BATTLEGROUNDS,2017/12/21,Action,50615000,10:24 (03:10),52%,"1,323,041","400,859","3,257,248",68021640,4088400,48907,1357,11203,15745,946,16.64,28215,1776348,26.06909304
4,Among Us,2018/11/16,Strategy,22807000,05:25 (03:13),95%,"269,410","151,449","447,476",383234220,6818520,330355,3503,39513,88711,1578,56.2,437934,7067547,62.19132891
5,Grand Theft Auto V,2015/4/14,Action,29143000,08:34 (03:48),80%,"847,014","129,733","364,548",334309620,9572820,169848,4209,28390,77386,2215,34.92,229694,5950623,37.29699086
6,Rocket League,2015/7/7,Action,14998000,11:23 (06:07),90%,"349,893","108,467","147,632",145586640,7029660,147604,2977,50091,33700,1627,20.71,172597,2206523,18.83325509
7,Apex,2017/10/19,Action,22441,00:00 (00:6441),,,"101,739","117,320",0,0,0,0,0,0,0,0.0,0,0,0.0
8,Destiny 2,2019/10/1,Action,10601000,16:12 (05:50),86%,"287,979","90,821","292,513",61748820,5999580,28934,2563,15587,14293,1388,10.29,23222,663777,6.638234676000001
9,Team Fortress 2,2007/10/10,Action,51593000,21:47 (04:09),94%,"717,184","82,059","131,300",2163600,249600,3924,110,1232,500,57,8.67,2540,45174,10.85913462
11,ARK: Survival Evolved,2017/8/27,Rpg,8460000,24:46 (21:15),78%,"291,491","69,387","157,400",11863020,1681980,5972,609,4506,2746,389,7.05,6837,144572,5.157207577
12,Tom Clancy's Rainbow Six Siege,2015/12/1,Action,26002000,09:24 (04:08),88%,"646,791","69,269","199,307",81128760,5475840,55538,2108,22686,18779,1267,14.82,58777,1733456,18.99386396
13,Rust,2018/5/28,Rpg,19319,00:00 (00:3319),84%,"378,692","64,426","125,452",25416480,1217820,14100,441,3369,5883,281,20.87,15676,464433,22.88185446
15,Monster Hunter: World,2018/8/9,Action,10157000,17:43 (03:46),84%,"167,108","48,811","334,684",6177600,828720,3709,252,2873,1430,191,7.45,2564,93961,6.802852592000001
16,Warframe,2013/3/25,Action,29057000,32:04 (11:58),91%,"387,336","45,603","155,004",6231900,681900,29909,235,1975,1442,157,9.14,2389,57916,5.09599648
17,Phasmophobia,2020/9/18,Action,5137000,09:49 (06:25),97%,"56,693","44,036","112,717",89729940,6212640,66068,3105,31576,20770,1438,14.44,59247,1431263,13.82275168
18,PAYDAY 2,2013/8/13,Rpg,17632000,45:05 (09:56),87%,"284,065","42,333","247,709",4161960,181440,28811,83,789,963,42,22.94,1712,63175,20.8912037
19,Dead by Daylight,2016/6/14,Action,7624000,07:26 (05:19),82%,"277,374","42,181","77,590",113252940,5824920,41407,2059,21650,26215,1348,19.44,47797,1548704,15.95253497
20,Euro Truck Simulator 2,2012/10/18,Simulation,8234000,06:52 (03:15),97%,"260,131","40,166","61,081",7777740,733020,7438,442,2745,1800,169,10.61,6422,129792,10.62388475
21,Eternal Return: Black Survival,2020/10/14,Strategy,186000,00:00 (00:00),83%,"2,080","39,785","39,785",51206520,743880,54870,367,2394,11853,172,68.84,8919,963058,77.67849653
22,Sid Meier's Civilization VI,2016/10/21,Strategy,"5,188,000",11:57 (11:06),82%,"90,596","38,695","162,657",2379480,192900,1563,92,628,550,44,12.34,426,28970,9.01088647
23,Terraria,2011/5/16,Rpg,27068000,07:00 (02:19),97%,"475,383","36,268","489,886",3699180,671280,1795,249,2407,856,155,5.51,3897,47042,4.20468359
24,Unturned,2017/7/7,Action,42707000,34:51 (05:23),91%,"403,469","33,648","63,462",0,0,0,0,0,0,0,0.0,0,0,0.0
25,Football Manager 2020,2019/11/18,Sports,3384000,26:40 (34:13),87%,"15,291","33,515","189,464",0,0,0,0,0,0,0,0.0,0,0,0.0
26,World of Tanks Blitz,2016/11/9,Action,7087000,11:24 (15:03),78%,"56,647","32,755","37,600",0,0,0,0,0,0,0,0.0,0,0,0.0
27,Left 4 Dead 2,2009/11/16,Action,28616000,07:31 (01:50),97%,"276,142","32,071","162,399",4172760,374820,11614,180,2052,965,86,11.13,1801,50932,8.153033456000001
